raw_api_name,canonical_name,file_name,stage,final_status,pytest_outcome,failure_category,root_cause_summary,initial_failure_category,initial_root_cause_summary,failure_messages,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,fix_summary,fix_artifact,changed_files,rerun_status,report_path
torch.library.Library,torch.library.Library,test_library_Library.py,final,pytest_failed,failed,PYTORCH_BUG,"RuntimeError: !dispatch_key_.has_value() INTERNAL ASSERT FAILED at ""/pytorch/aten/src/ATen/core/library.cpp"":87, please report a bug to PyTorch. (Error occurred while processing TORCH_LIBRARY_FRAGMENT block at /dev/null:166)
def test_library_construct_and_define_for_npu_dispatch():
        _require_npu()
    
        namespace = ""pta_test_library_ctor""
        lib = torch.library.Library(namespace, ""DEF"")
>       frag = torch.library.Library(namespace, ""FRAGMENT"", ""PrivateUse1"")
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

test/api_test/test_library_Library.py:34: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <[AttributeError(""'Library' object has no attribute 'kind'"") raised in repr()] Library object at 0xfffdd80a3190>
ns = 'pta_test_library_ctor', kind = 'FRAGMENT', dispatch_key = 'PrivateUse1'

    def __init__(self, ns, kind, dispatch_key=""""):
        if kind not in (""IMPL"", ""DEF"", ""FRAGMENT""):
            raise ValueError(""Unsupported kind: "", kind)
    
        if ns in _reserved_namespaces and (kind == ""DEF"" or kind == ""FRAGMENT""):
            raise ValueError(
                ns,
                "" is a reserved namespace. Please try creating a library with another name."",
            )
        if torch._running_with_deploy():
            _library.utils.warn_deploy()
            return
    
        frame = traceback.extract_stack(limit=3)[0]
        filename, lineno = frame.filename, frame.lineno
>       self.m: Optional[Any] = torch._C._dispatch_library(
            kind, ns, dispatch_key, filename, lineno
        )
E       RuntimeError: !dispatch_key_.has_value() INTERNAL ASSERT FAILED at ""/pytorch/aten/src/ATen/core/library.cpp"":87, please report a bug to PyTorch. (Error occurred while processing TORCH_LIBRARY_FRAGMENT block at /dev/null:166)

/usr/local/python3.11.14/lib/python3.11/site-packages/torch/library.py:109: RuntimeError",PYTORCH_BUG,"Creating torch.library.Library with kind=""FRAGMENT"" and a non-empty dispatch key triggers an internal assert in /pytorch/aten/src/ATen/core/library.cpp:87; the same failure reproduces with CPU and PrivateUse1, so this points to PyTorch core registration logic.","[""RuntimeError: !dispatch_key_.has_value() INTERNAL ASSERT FAILED at \""/pytorch/aten/src/ATen/core/library.cpp\"":87, please report a bug to PyTorch. (Error occurred while processing TORCH_LIBRARY_FRAGMENT block at /dev/null:166)\ndef test_library_construct_and_define_for_npu_dispatch():\n        _require_npu()\n    \n        namespace = \""pta_test_library_ctor\""\n        lib = torch.library.Library(namespace, \""DEF\"")\n>       frag = torch.library.Library(namespace, \""FRAGMENT\"", \""PrivateUse1\"")\n               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n\ntest/api_test/test_library_Library.py:34: \n_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ \n\nself = <[AttributeError(\""'Library' object has no attribute 'kind'\"") raised in repr()] Library object at 0xfffdd80a3190>\nns = 'pta_test_library_ctor', kind = 'FRAGMENT', dispatch_key = 'PrivateUse1'\n\n    def __init__(self, ns, kind, dispatch_key=\""\""):\n        if kind not in (\""IMPL\"", \""DEF\"", \""FRAGMENT\""):\n            raise ValueError(\""Unsupported kind: \"", kind)\n    \n        if ns in _reserved_namespaces and (kind == \""DEF\"" or kind == \""FRAGMENT\""):\n            raise ValueError(\n                ns,\n                \"" is a reserved namespace. Please try creating a library with another name.\"",\n            )\n        if torch._running_with_deploy():\n            _library.utils.warn_deploy()\n            return\n    \n        frame = traceback.extract_stack(limit=3)[0]\n        filename, lineno = frame.filename, frame.lineno\n>       self.m: Optional[Any] = torch._C._dispatch_library(\n            kind, ns, dispatch_key, filename, lineno\n        )\nE       RuntimeError: !dispatch_key_.has_value() INTERNAL ASSERT FAILED at \""/pytorch/aten/src/ATen/core/library.cpp\"":87, please report a bug to PyTorch. (Error occurred while processing TORCH_LIBRARY_FRAGMENT block at /dev/null:166)\n\n/usr/local/python3.11.14/lib/python3.11/site-packages/torch/library.py:109: RuntimeError""]",2,1,0,0,1,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Module.buffers,torch.nn.Module.buffers,test_nn_Module_buffers.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The invalid-self test is too strict: calling the unbound method with a string deterministically raises AttributeError from self.named_buffers, not TypeError.",[],2,2,0,0,0,0,adjust_test,True,True,test/api_test,"已按 `single-api-fix` 执行单 API 修复，只触达了允许范围内的 [test_nn_Module_buffers.py](test/api_test/test_nn_Module_buffers.py)。

修复内容是把 `test_module_buffers_invalid_self_raises` 对 `torch.nn.Module.buffers(""bad"")` 的异常预期从 `TypeError` 调整为 `AttributeError`，与请求文件里的稳定失败栈一致。未使用 `pytest.xfail`，也没有运行 `pytest`。

剩余风险：这个断言依赖当前上游实现对非法 `self` 通过访问 `self.named_buffers` 抛出 `AttributeError`；如果未来实现改成显式类型检查，异常类型可能再次变化。",runs/20260323T041305Z/fixes/test_nn_Module_buffers.md,"[""test/api_test/test_nn_Module_buffers.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.nn.Module.modules,torch.nn.Module.modules,test_nn_Module_modules.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The invalid-self test is too strict: calling the unbound method with a string deterministically raises AttributeError from self.named_modules, not TypeError.",[],2,2,0,0,0,0,adjust_test,True,True,test/api_test,"修复已完成，只改了允许范围内的单个文件：[test/api_test/test_nn_Module_modules.py:50](test/api_test/test_nn_Module_modules.py#L50)。

本次是最小修复：将 `test_module_modules_invalid_self_raises` 的异常断言从 `TypeError` 调整为实际稳定触发的 `AttributeError`，与请求中的根因描述一致。未使用 `pytest.xfail`，也未运行 `pytest`。

剩余风险：未做本地回归，最终通过情况依赖外层 pipeline 验证当前环境下的真实行为是否仍保持为 `AttributeError`。",runs/20260323T041305Z/fixes/test_nn_Module_modules.md,"[""test/api_test/test_nn_Module_modules.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.nn.Module.named_modules,torch.nn.Module.named_modules,test_nn_Module_named_modules.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The invalid-self test is too strict: calling the unbound method with a string deterministically raises AttributeError when the implementation accesses self._modules, not TypeError.",[],3,3,0,0,0,0,adjust_test,True,True,test/api_test,"按 `single-api-fix` 流程完成了这次单 API 修复，只修改了允许范围内的 [test/api_test/test_nn_Module_named_modules.py](test/api_test/test_nn_Module_named_modules.py#L47)。具体是把 `test_module_named_modules_invalid_self_raises` 的异常断言从 `TypeError` 调整为 `AttributeError`，与当前 `torch.nn.Module.named_modules(""bad"")` 实际访问 `self._modules` 后的失败行为一致。

未运行 `pytest`，符合请求约束。剩余风险是：如果后续上游实现改成显式类型校验，这里的异常类型可能需要再同步调整。",runs/20260323T041305Z/fixes/test_nn_Module_named_modules.md,"[""test/api_test/test_nn_Module_named_modules.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.nn.Module.named_parameters,torch.nn.Module.named_parameters,test_nn_Module_named_parameters.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The invalid-self test is too strict: calling the unbound method with a string deterministically raises AttributeError from self._named_members, not TypeError.",[],3,3,0,0,0,0,adjust_test,True,True,test/api_test,"已按 `single-api-fix` 执行最小修复，只修改了允许范围内的 [test/api_test/test_nn_Module_named_parameters.py:49](test/api_test/test_nn_Module_named_parameters.py#L49)。变更是将无效 `self` 场景的断言从 `TypeError` 调整为实际稳定抛出的 `AttributeError`，并用 `match=""_named_members""` 限定异常来源。

未运行 `pytest`，符合你的要求。剩余风险是该断言依赖当前 PyTorch 的内部报错路径；如果上游未来改成更早做类型校验，异常类型或消息可能再次变化。",runs/20260323T041305Z/fixes/test_nn_Module_named_parameters.md,"[""test/api_test/test_nn_Module_named_parameters.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.nn.Module.register_forward_hook,torch.nn.Module.register_forward_hook,test_nn_Module_register_forward_hook.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The test expects register_forward_hook(None) to fail during registration, but current PyTorch stores None and raises TypeError only when forward later invokes the hook.",[],3,3,0,0,0,0,adjust_test,True,True,test/api_test,"已按 `single-api-fix` 执行该单 API 修复，且只修改了允许范围内的文件：[test_nn_Module_register_forward_hook.py](test/api_test/test_nn_Module_register_forward_hook.py)。

修复内容是把 `register_forward_hook(None)` 的 `TypeError` 断言从“注册阶段”调整到“实际执行 `forward` 触发 hook 调用阶段”，与当前 PyTorch 的真实行为一致。未使用 `pytest.xfail`，也未运行 `pytest`。剩余风险仅是未做本地回归，需由外层 pipeline 验证该异常路径在当前环境中的实际表现。",runs/20260323T041305Z/fixes/test_nn_Module_register_forward_hook.md,"[""test/api_test/test_nn_Module_register_forward_hook.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.nn.Module.register_forward_pre_hook,torch.nn.Module.register_forward_pre_hook,test_nn_Module_register_forward_pre_hook.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The test expects register_forward_pre_hook(None) to fail during registration, but current PyTorch stores None and raises TypeError only when forward later invokes the hook.",[],3,3,0,0,0,0,adjust_test,True,True,test/api_test,"已按 `single-api-fix` 流程完成单个 API 的最小修复，只修改了允许范围内的 [test/api_test/test_nn_Module_register_forward_pre_hook.py](test/api_test/test_nn_Module_register_forward_pre_hook.py)。

修复内容是把 `test_module_register_forward_pre_hook_invalid_hook_raises` 的断言从“`register_forward_pre_hook(None)` 注册时立即抛 `TypeError`”调整为“注册后在执行 `forward` 时触发 `TypeError`”，以匹配当前 PyTorch 的实际行为。未使用 `pytest.xfail`，也未运行 `pytest`。

剩余风险是外层回归仍需确认当前环境下该异常类型和触发时机没有框架分支差异。",runs/20260323T041305Z/fixes/test_nn_Module_register_forward_pre_hook.md,"[""test/api_test/test_nn_Module_register_forward_pre_hook.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.nn.Module.register_load_state_dict_post_hook,torch.nn.Module.register_load_state_dict_post_hook,test_nn_Module_register_load_state_dict_post_hook.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The test expects register_load_state_dict_post_hook(None) to fail during registration, but current PyTorch stores None and raises TypeError only when load_state_dict later invokes the hook.",[],2,2,0,0,0,0,adjust_test,True,True,test/api_test,"已按请求完成单 API 最小修复，只修改了 [test/api_test/test_nn_Module_register_load_state_dict_post_hook.py](test/api_test/test_nn_Module_register_load_state_dict_post_hook.py#L55)。

修复点是把异常用例改为符合当前 PyTorch 行为：`register_load_state_dict_post_hook(None)` 先注册成功，再在 `load_state_dict({}, strict=False)` 触发该 `None` hook 时断言 `TypeError`。未使用 `pytest.xfail`，未触达 `allowed_scopes` 之外的文件，也没有运行 `pytest`。

剩余风险：未做本地回归，最终结果依赖外层 pipeline 验证当前环境中的实际 NPU/PyTorch 行为。",runs/20260323T041305Z/fixes/test_nn_Module_register_load_state_dict_post_hook.md,"[""test/api_test/test_nn_Module_register_load_state_dict_post_hook.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.utils._pytree.tree_flatten,torch.utils._pytree.tree_flatten,test_utils__pytree_tree_flatten.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.utils._pytree.tree_map,torch.utils._pytree.tree_map,test_utils__pytree_tree_map.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.utils._pytree.tree_unflatten,torch.utils._pytree.tree_unflatten,test_utils__pytree_tree_unflatten.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.utils.swap_tensors,torch.utils.swap_tensors,test_utils_swap_tensors.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The invalid-input test is too strict: passing a non-Tensor reaches t._use_count() and raises AttributeError, while the test only accepts TypeError or RuntimeError.",[],2,2,0,0,0,0,adjust_test,True,True,test/api_test,"已按 `single-api-fix` skill 完成修复，只修改了 [test/api_test/test_utils_swap_tensors.py](test/api_test/test_utils_swap_tensors.py)，符合请求里的 `allowed_scopes`。

修复内容是放宽 `test_swap_tensors_invalid_input_raises` 的异常断言，接受当前 `torch.utils.swap_tensors` 对非 Tensor 参数实际抛出的 `AttributeError`，同时保留 `TypeError` 和 `RuntimeError`。未使用 `pytest.xfail`，也未运行 `pytest`。

剩余风险：该异常断言仍依赖上游当前实现细节；如果后续 `swap_tensors` 统一了非法入参的异常类型，外层回归可能需要再同步调整。",runs/20260323T041305Z/fixes/test_utils_swap_tensors.md,"[""test/api_test/test_utils_swap_tensors.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.nn.Parameter.grad,torch.nn.Parameter.grad,test_nn_Parameter_grad.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.device,torch.nn.Parameter.device,test_nn_Parameter_device.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.device.type,torch.nn.Parameter.device.type,test_nn_Parameter_device_type.py,final,analyzed,no_tests_recorded,UNKNOWN,No explicit failure detail was captured.,UNKNOWN,No explicit failure detail was captured.,[],0,0,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.is_contiguous,torch.nn.Parameter.is_contiguous,test_nn_Parameter_is_contiguous.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],1,1,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.ndim,torch.nn.Parameter.ndim,test_nn_Parameter_ndim.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],1,1,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.size,torch.nn.Parameter.size,test_nn_Parameter_size.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.stride,torch.nn.Parameter.stride,test_nn_Parameter_stride.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],1,1,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.dtype,torch.nn.Parameter.dtype,test_nn_Parameter_dtype.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.nn.Parameter.itemsize,torch.nn.Parameter.itemsize,test_nn_Parameter_itemsize.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.autograd._unsafe_preserve_version_counter,torch.autograd._unsafe_preserve_version_counter,test_autograd__unsafe_preserve_version_counter.py,final,fixed,passed,NONE,No explicit failure detail was captured.,TEST_BUG,"The invalid-input test is too strict: passing None hits the constructor assertion that tensors must be a tuple and raises AssertionError, while the test only accepts TypeError or RuntimeError.",[],2,2,0,0,0,0,adjust_test,True,True,test/api_test,"已按请求完成单个 API 的最小修复，只修改了 [test/api_test/test_autograd__unsafe_preserve_version_counter.py#L44](test/api_test/test_autograd__unsafe_preserve_version_counter.py#L44)。

修复内容是把 `None` 非法输入分支的 `pytest.raises` 从仅接受 `TypeError`/`RuntimeError` 放宽为同时接受 `AssertionError`，与 request 中给出的实际失败路径一致。未使用 `pytest.xfail`，未运行 `pytest`，也没有触达 `allowed_scopes` 之外的文件。",runs/20260323T041305Z/fixes/test_autograd__unsafe_preserve_version_counter.md,"[""test/api_test/test_autograd__unsafe_preserve_version_counter.py""]",pytest_passed,runs/20260323T041305Z/summary.md
torch.library,torch.library,test_library.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._dynamo.compiled_autograd.compiled_autograd_enabled,torch._dynamo.compiled_autograd.compiled_autograd_enabled,test__dynamo_compiled_autograd_compiled_autograd_enabled.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,test__dynamo_compiled_autograd_compiled_autograd_enabled_force_eager.py,final,analyzed,no_tests_recorded,UNKNOWN,No explicit failure detail was captured.,UNKNOWN,No explicit failure detail was captured.,[],0,0,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._dynamo.compiled_autograd.in_compiled_autograd_region,torch._dynamo.compiled_autograd.in_compiled_autograd_region,test__dynamo_compiled_autograd_in_compiled_autograd_region.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],1,1,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._running_with_deploy,torch._running_with_deploy,test__running_with_deploy.py,final,pytest_passed,passed_with_skips,NONE,"`torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。
test/api_test/test__running_with_deploy.py:31: `torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。",NONE,"`torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。
test/api_test/test__running_with_deploy.py:31: `torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。","[""`torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。\ntest/api_test/test__running_with_deploy.py:31: `torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。""]",2,1,1,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch.utils._python_dispatch.is_traceable_wrapper_subclass,torch.utils._python_dispatch.is_traceable_wrapper_subclass,test_utils__python_dispatch_is_traceable_wrapper_subclass.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],8,8,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._dynamo.comptime.comptime.print,torch._dynamo.comptime.comptime.print,test__dynamo_comptime_comptime_print.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._dynamo.config,torch._dynamo.config,test__dynamo_config.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._dynamo.config.skip_fsdp_hooks,torch._dynamo.config.skip_fsdp_hooks,test__dynamo_config_skip_fsdp_hooks.py,final,analyzed,no_tests_recorded,UNKNOWN,No explicit failure detail was captured.,UNKNOWN,No explicit failure detail was captured.,[],0,0,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._C.DispatchKey.Functionalize,torch._C.DispatchKey.Functionalize,test__C_DispatchKey_Functionalize.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._C.DispatchKeySet,torch._C.DispatchKeySet,test__C_DispatchKeySet.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],2,2,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._C._ExcludeDispatchKeyGuard,torch._C._ExcludeDispatchKeyGuard,test__C__ExcludeDispatchKeyGuard.py,final,pytest_passed,passed_with_skips,NONE,"当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。
test/api_test/test__C__ExcludeDispatchKeyGuard.py:31: 当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。",NONE,"当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。
test/api_test/test__C__ExcludeDispatchKeyGuard.py:31: 当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。","[""当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。\ntest/api_test/test__C__ExcludeDispatchKeyGuard.py:31: 当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。""]",2,1,1,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._from_functional_tensor,torch._from_functional_tensor,test__from_functional_tensor.py,final,pytest_passed,passed,NONE,No explicit failure detail was captured.,NONE,No explicit failure detail was captured.,[],3,3,0,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
torch._prims_common.make_contiguous_strides_for,torch._prims_common.make_contiguous_strides_for,test__prims_common_make_contiguous_strides_for.py,final,pytest_passed,passed_with_skips,NONE,"`make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。
test/api_test/test__prims_common_make_contiguous_strides_for.py:31: `make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。",NONE,"`make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。
test/api_test/test__prims_common_make_contiguous_strides_for.py:31: `make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。","[""`make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。\ntest/api_test/test__prims_common_make_contiguous_strides_for.py:31: `make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。""]",3,2,1,0,0,0,manual_followup,False,False,,,,[],not_run,runs/20260323T041305Z/summary.md
